,V1,V2,V3
1,0,GET_url3,Khadija
2,1000,GET_url3,Khadija
3,1000,GET_url3,Pronia
4,0,GET_url3,Timoty
5,1000,GET_url3,Khadija
6,1000,GET_url3,Eda
7,2000,GET_url3,Chepkeino
8,0,GET_url3,Dionisius
9,0,GET_url3,Philemon
10,1000,GET_url3,Pronia
11,0,GET_url3,Johnson
12,0,GET_url3,Cornelious
13,1000,GET_url3,Alison
14,1000,GET_url3,Alison
15,0,GET_url3,Andonica
16,1000,GET_url3,Cornelious
17,0,GET_url3,Ernest
18,1000,GET_url3,Dipporah
19,0,GET_url3,Abedenego
20,0,GET_url3,Allocius
21,0,GET_url3,Jepkorir
22,1000,GET_url3,Salome
23,1000,GET_url3,Salex
24,0,GET_url3,Salex
25,0,GET_url3,Cornelious
26,1000,GET_url3,Salex
27,0,GET_url3,Abedenego
28,0,GET_url3,Alexsis
29,1000,GET_url3,Zurha
30,0,GET_url3,Allocius
31,1000,GET_url3,Constatine
32,1000,GET_url3,Abedenego
33,0,GET_url3,Abedenego
34,1000,GET_url3,Pius
35,1000,GET_url3,Uhuru
36,0,GET_url3,Valetine
37,1000,GET_url3,Salex
38,0,GET_url3,Abedenego
39,1000,GET_url3,Cornellius
40,0,GET_url3,Uhuru
41,2000,GET_url3,Beliata
42,1000,GET_url3,Uhuru
43,0,GET_url3,Butelis
44,1000,GET_url3,Lawfine
45,1000,GET_url3,Salex
46,2000,GET_url3,Janes
47,0,GET_url3,Uhuru
48,1000,GET_url3,Janes
49,0,GET_url3,Maiyo
50,1000,GET_url3,Phidelis
51,0,GET_url3,Lemuya
52,1000,GET_url3,Kelly
53,0,GET_url3,Robano
54,1000,GET_url3,Sellah
55,0,GET_url3,Allocius
56,0,GET_url3,Kaisha
57,1000,GET_url3,Batsheba
58,2000,GET_url3,Allocius
59,0,GET_url3,Allocius
60,2000,GET_url3,Doncarlos
61,1000,GET_url3,Washington
62,1000,GET_url3,Marine
63,1000,GET_url3,Alloycious
64,1000,GET_url3,Alloycious
65,0,GET_url3,Hulita
66,1000,GET_url3,Maiyo
67,1000,GET_url3,Norine
68,0,GET_url3,Alloycious
69,2000,GET_url3,Ladho
70,0,GET_url3,Shally
71,0,GET_url3,Valetine
72,1000,GET_url3,Alloycious
73,0,GET_url3,Rukia
74,0,GET_url3,Collins
75,1000,GET_url3,Appolo
76,0,GET_url3,Petronila
77,0,GET_url3,Reuben
78,1000,GET_url3,Appolo
79,1000,GET_url3,Reuben
80,0,GET_url3,Gilean
81,1000,GET_url3,Date
82,1000,GET_url3,Alloycious
83,1000,GET_url3,Augustus
84,0,GET_url3,Silvanis
85,0,GET_url3,Gilean
86,3000,GET_url3,Appolo
87,0,GET_url3,Girlvine
88,0,GET_url3,Abiba
89,1000,GET_url3,Brotus
90,0,GET_url3,Sydney
91,0,GET_url3,Mony
92,1000,GET_url3,William
93,1000,GET_url3,Tarus
94,0,GET_url3,Abiba
95,2000,GET_url3,Silvanis
96,0,GET_url3,Talaa
97,1000,GET_url3,Antonina
98,0,GET_url3,Tarus
99,1000,GET_url3,Abiba
100,0,GET_url3,William
101,1000,GET_url3,Alphine
102,0,GET_url3,Petroline
103,1000,GET_url3,Sherly
104,0,GET_url3,Girlvine
105,1000,GET_url3,Abiba
106,0,GET_url3,Sherly
107,1000,GET_url3,Alphine
108,0,GET_url3,Ileen
109,0,GET_url3,William
110,1000,GET_url3,Filisters
111,0,GET_url3,Nicolas
112,0,GET_url3,Coletta
113,1000,GET_url3,Felisia
114,0,GET_url3,Silvanis
115,1000,GET_url3,Conceshus
116,0,GET_url3,Alphine
117,1000,GET_url3,Brotus
118,0,GET_url3,Brotus
119,0,GET_url3,Zwigil
120,1000,GET_url3,Abiba
121,0,GET_url3,Vincent
122,1000,GET_url3,Sherly
123,0,GET_url3,Abiba
124,0,GET_url3,Lornah
125,1000,GET_url3,Jeffry
126,1000,GET_url3,Alphine
127,1000,GET_url3,Sherly
128,0,GET_url3,Mandago
129,1000,GET_url3,Felisia
130,0,GET_url3,Zwigil
131,1000,GET_url3,Lornah
132,0,GET_url3,Ismael
