1,4000,POST_url1,ADD
2,0,POST_url1,ADD
3,1000,POST_url1,ADD
4,1000,POST_url1,ADD
5,0,POST_url1,ADD
6,1000,POST_url1,ADD
7,1000,POST_url1,ADD
8,1000,POST_url1,ADD
9,1000,POST_url1,ADD
10,0,POST_url1,ADD
11,0,POST_url1,ADD
12,1000,POST_url1,ADD
13,0,POST_url1,ADD
14,0,POST_url1,ADD
15,1000,POST_url1,ADD
16,1000,POST_url1,ADD
17,1000,POST_url1,ADD
18,0,POST_url1,ADD
19,1000,POST_url1,ADD
20,1000,POST_url1,ADD
21,0,POST_url1,ADD
22,1000,POST_url1,ADD
23,1000,POST_url1,ADD
24,0,POST_url1,ADD
25,0,POST_url1,ADD
26,0,POST_url1,ADD
27,1000,POST_url1,ADD
28,1000,POST_url1,ADD
29,0,POST_url1,ADD
30,0,POST_url1,ADD
31,0,POST_url1,ADD
32,0,POST_url1,ADD
33,1000,POST_url1,ADD
34,1000,POST_url1,ADD
35,0,POST_url1,ADD
36,1000,POST_url1,ADD
37,0,POST_url1,ADD
38,0,POST_url1,ADD
39,0,POST_url1,ADD
40,1000,POST_url1,ADD
41,0,POST_url1,ADD
42,1000,POST_url1,ADD
43,0,POST_url1,ADD
44,1000,POST_url1,ADD
45,0,POST_url1,ADD
46,0,POST_url1,ADD
47,1000,POST_url1,ADD
48,1000,POST_url1,ADD
49,1000,POST_url1,ADD
50,0,POST_url1,ADD
51,0,POST_url1,ADD
52,1000,POST_url1,ADD
53,0,POST_url1,ADD
54,0,POST_url1,ADD
55,0,POST_url1,ADD
56,0,POST_url1,ADD
57,1000,POST_url1,ADD
58,0,POST_url1,ADD
59,0,POST_url1,ADD
60,0,POST_url1,ADD
61,1000,POST_url1,ADD
62,0,POST_url1,ADD
63,0,POST_url1,ADD
64,1000,POST_url1,ADD
65,0,POST_url1,ADD
66,1000,POST_url1,ADD
67,1000,POST_url1,ADD
68,1000,POST_url1,ADD
69,0,POST_url1,ADD
70,1000,POST_url1,ADD
71,0,POST_url1,ADD
72,0,POST_url1,ADD
73,0,POST_url1,ADD
74,0,POST_url1,ADD
75,2000,POST_url1,ADD
76,0,POST_url1,ADD
77,0,POST_url1,ADD
78,1000,POST_url1,ADD
79,0,POST_url1,ADD
80,0,POST_url1,ADD
81,0,POST_url1,ADD
82,0,POST_url1,ADD
83,0,POST_url1,ADD
84,1000,POST_url1,ADD
85,0,POST_url1,ADD
86,0,POST_url1,ADD
87,0,POST_url1,ADD
88,0,POST_url1,ADD
89,0,POST_url1,ADD
90,1000,POST_url1,ADD
91,1000,POST_url1,ADD
92,1000,POST_url1,ADD
93,0,POST_url1,ADD
94,2000,POST_url1,ADD
95,1000,POST_url1,ADD
96,0,POST_url1,ADD
97,0,POST_url1,ADD
98,0,POST_url1,ADD
99,1000,POST_url1,ADD
100,0,POST_url1,ADD
101,0,POST_url1,ADD
102,0,POST_url1,ADD
103,0,POST_url1,ADD
104,1000,POST_url1,ADD
105,2000,POST_url1,ADD
106,0,POST_url1,ADD
107,0,POST_url1,ADD
108,1000,POST_url1,ADD
109,0,POST_url1,ADD
110,0,POST_url1,ADD
111,1000,POST_url1,ADD
112,0,POST_url1,ADD
113,1000,POST_url1,ADD
114,1000,POST_url1,ADD
115,0,POST_url1,ADD
116,0,POST_url1,ADD
117,1000,POST_url1,ADD
118,0,POST_url1,ADD
119,1000,POST_url1,ADD
120,0,POST_url1,ADD
121,1000,POST_url1,ADD
122,1000,POST_url1,ADD
123,0,POST_url1,ADD
124,1000,POST_url1,ADD
125,0,POST_url1,ADD
126,0,POST_url1,ADD
127,0,POST_url1,ADD
128,0,POST_url1,ADD
129,0,POST_url1,ADD
130,1000,POST_url1,ADD
131,1000,POST_url1,ADD
132,0,POST_url1,ADD
133,1000,POST_url1,ADD
134,0,POST_url1,ADD
135,0,POST_url1,ADD
136,0,POST_url1,ADD
137,1000,POST_url1,ADD
138,0,POST_url1,ADD
139,1000,POST_url1,ADD
140,0,POST_url1,ADD
141,0,POST_url1,ADD
142,1000,POST_url1,ADD
143,0,POST_url1,ADD
144,1000,POST_url1,ADD
145,1000,POST_url1,ADD
146,0,POST_url1,ADD
147,1000,POST_url1,ADD
148,0,POST_url1,ADD
149,1000,POST_url1,ADD
150,0,POST_url1,ADD
151,0,POST_url1,ADD
152,0,POST_url1,ADD
153,0,POST_url1,ADD
154,1000,POST_url1,ADD
155,0,POST_url1,ADD
156,0,POST_url1,ADD
157,0,POST_url1,ADD
158,0,POST_url1,ADD
159,0,POST_url1,ADD
160,1000,POST_url1,ADD
161,1000,POST_url1,ADD
162,1000,POST_url1,ADD
163,1000,POST_url1,ADD
164,1000,POST_url1,ADD
165,0,POST_url1,ADD
166,0,POST_url1,ADD
167,1000,POST_url1,ADD
168,0,POST_url1,ADD
169,0,POST_url1,ADD
170,0,POST_url1,ADD
171,1000,POST_url1,ADD
172,0,POST_url1,ADD
173,1000,POST_url1,ADD
174,0,POST_url1,ADD
175,0,POST_url1,ADD
176,1000,POST_url1,ADD
177,1000,POST_url1,ADD
178,0,POST_url1,ADD
179,0,POST_url1,ADD
180,0,POST_url1,ADD
181,1000,POST_url1,ADD
182,0,POST_url1,ADD
183,2000,POST_url1,ADD
184,0,POST_url1,ADD
185,2000,POST_url1,ADD
186,0,POST_url1,ADD
187,0,POST_url1,ADD
188,2000,POST_url1,ADD
189,1000,POST_url1,ADD
190,0,POST_url1,ADD
191,1000,POST_url1,ADD
192,0,POST_url1,ADD
193,1000,POST_url1,ADD
194,0,POST_url1,ADD
